image number;Distance (R);Z score-3 (R);Z score-5 (R);Z score-7 (R);Probability (R);Distance (L);Z score-3 (L);Z score-5 (L);Z score-7 (L);Probability (L);Orientation;Z score-3 (F);Z score-5 (F);Z score-7 (F);Probability (F)
1172;0.88900006;1.3446363;0.60800487;0.20924158;4;0;0;0;0;0;0;0;0;0;0
1173;0.90800005;1.0517452;1.394477;0.7483177;4;0;0;0;0;0;0;0;0;0;0
1174;0.809;-1.390901;-1.2913809;-1.1231334;4;0;0;0;0;0;0;0;0;0;0
1175;0.809;-0.7071064;-1.0754966;-0.89820826;4;0;0;0;0;0;0;0;0;0;0
1176;0.846;1.4142135;-0.15273747;-0.06488227;4;0;0;0;0;0;0;0;0;0;0
1177;0.90800005;1.3139455;1.1670809;1.222243;4;0;0;0;0;0;0;0;0;0;0
1178;0.887;0.2589332;0.8748331;0.5418327;4;0;0;0;0;0;0;0;0;0;0
1179;0.9110001;0.8429316;0.9895652;0.9967343;4;0;0;0;0;0;0;0;0;0;0
1180;0.906;0.4513736;0.5925172;0.8921348;4;0;0;0;0;0;0;0;0;0;0
1181;0.9110001;0.70709836;0.71093976;0.76839054;4;0;0;0;0;0;0;0;0;0;0
1182;0.934;1.3942574;1.6149186;1.3122139;4;0;0;0;0;0;0;0;0;0;0
1183;0.78400004;-1.399812;-1.9666619;-2.353356;4;0;0;0;0;0;0;0;0;0;0
1184;0.74300003;-0.9419532;-1.4644086;-1.8333706;4;0;0;0;0;0;0;0;0;0;0
1185;0.772;0.32924166;-0.7282203;-1.0591972;4;0;0;0;0;0;0;0;0;0;0
1186;0.9110001;1.3956565;1.0538675;0.791069;4;0;0;0;0;0;0;0;0;0;0
1187;0.95600003;0.9746703;1.4587072;1.1861148;4;0;0;0;0;0;0;0;0;0;0
1188;0.97900003;1.0740863;1.1054835;1.2129935;4;0;0;0;0;0;0;0;0;0;0
1189;0.93100005;-1.2413979;0.2919612;0.6934273;4;0;0;0;0;0;0;0;0;0;0
1190;0.95600003;0.034008402;0.40175158;0.72055525;4;0;0;0;0;0;0;0;0;0;0
1191;0.98100007;1.2247463;1.115173;0.81011856;4;0;0;0;0;0;0;0;0;0;0
1192;1.034;1.34276;1.6937423;1.9061676;4;0;0;0;0;0;0;0;0;0;0
1193;1.1010001;1.2694974;1.654451;2.0428739;4;0;0;0;0;0;0;0;0;0;0
1194;1.136;1.0791087;1.3770483;1.6762681;4;0;0;0;0;0;0;0;0;0;0
1195;0.827;-1.4066293;-1.739596;-1.7228457;4;0;0;0;0;0;0;0;0;0;0
1196;1.0610001;0.4027427;0.27007762;0.49267066;4;0;0;0;0;0;0;0;0;0;0
1197;0.77500004;-0.90575266;-1.3760439;-1.6719447;4;0;0;0;0;0;0;0;0;0;0
1198;0.76000005;-0.7605695;-0.9738986;-1.3050492;4;0;0;0;0;0;0;0;0;0;0
1199;0.77500004;0.70710677;-0.57161814;-0.9109997;4;0;0;0;0;0;0;0;0;0;0
1200;0.76500005;-0.26726124;-0.53142333;-0.7254673;4;0;0;0;0;0;0;0;0;0;0
1201;0.78400004;1.2027007;1.4482821;-0.36975172;4;0;0;0;0;0;0;0;0;0;0
1202;1.0610001;1.4118869;1.9949354;1.5787959;4;0;0;0;0;0;0;0;0;0;0
1203;1.0610001;0.70710695;1.2236221;1.5787964;4;0;0;0;0;0;0;0;0;0;0
1204;1.0610001;nan;0.81574976;1.1533334;4;0;0;0;0;0;0;0;0;0;0
1205;1.0610001;nan;0.5;0.8654695;4;0;0;0;0;0;0;0;0;0;0
1206;1.07;1.4142323;2.000013;0.68702877;4;0;0;0;0;0;0;0;0;0;0
1207;1.0370001;-1.3641241;-1.8981322;0.18354098;4;0;0;0;0;0;0;0;0;0;0
1208;1.0250001;-0.99862146;-1.5240941;-1.9103914;4;0;0;0;0;0;0;0;0;0;0
1209;1.0400001;0.9258279;-0.40059784;-0.69713956;4;0;0;0;0;0;0;0;0;0;0
1210;1.034;0.16220988;-0.47213414;-0.8195333;4;0;0;0;0;0;0;0;0;0;0
1211;0.79300004;-1.4138929;-1.997294;-2.4165199;4;0;0;0;0;0;0;0;0;0;0
1212;0.791;-0.71585405;-1.2321898;-1.5796856;4;0;0;0;0;0;0;0;0;0;0
1213;0.809;1.406925;-0.71872497;-1.0560303;4;0;0;0;0;0;0;0;0;0;0
1214;0.79300004;-0.5793268;-0.5355913;-0.89441574;4;0;0;0;0;0;0;0;0;0;0
1215;1.065;1.41227;1.9963514;1.3011197;4;0;0;0;0;0;0;0;0;0;0
1216;0.77500004;-0.7738596;-0.6525117;-0.776088;4;0;0;0;0;0;0;0;0;0;0
1217;0.77500004;-0.70710695;-0.6133246;-0.5533337;4;0;0;0;0;0;0;0;0;0;0
1218;0.791;1.4142163;-0.43240166;-0.38514134;4;0;0;0;0;0;0;0;0;0;0
1219;1.069;1.4125568;1.2378645;1.591165;4;0;0;0;0;0;0;0;0;0;0
1220;0.77500004;-0.7655466;-0.53372204;-0.68418515;4;0;0;0;0;0;0;0;0;0;0
1221;1.069;0.70710677;1.2237012;1.1632092;4;0;0;0;0;0;0;0;0;0;0
1222;1.207;1.0546442;1.3196491;1.6538166;4;0;0;0;0;0;0;0;0;0;0
1223;1.21;0.7297897;0.9095874;1.21473;4;0;0;0;0;0;0;0;0;0;0
1224;1.21;0.7071349;0.6869852;0.9194528;4;0;0;0;0;0;0;0;0;0;0
